"GEOID","INVERSE_DIST_10mile","INVERSE_DIST_20mile","COUNT_5mile"
"51059482002",2.05299193204951e-05,3.04020624520428e-05,159
"51059482100",2.52216739158351e-05,3.62578344204875e-05,139
"51059482201",3.69288444746216e-05,5.31921083447557e-05,147
"51059482202",2.28086496746046e-05,3.27110243489842e-05,149
"51059482203",2.2070715342888e-05,3.08685712176819e-05,163
"51059482301",1.62248008000021e-05,2.39588710933516e-05,125
"51059482302",1.64624588728012e-05,2.43420436549794e-05,126
"51059482303",2.28610674486758e-05,3.35484795835906e-05,143
"51059482400",3.03512854390359e-05,4.5039348716961e-05,162
"51059482501",8.3959134945517e-06,1.28271049624939e-05,160
"51059482502",1.9975811061592e-05,3.25881553022849e-05,118
"51059482503",1.25289578439721e-05,2.01092776815487e-05,135
"51059482504",1.11710670294132e-05,1.85331616631247e-05,123
"51059482601",8.30661981893596e-06,1.40485561811041e-05,117
"51059482602",7.71980189085287e-06,1.39934430261105e-05,158
"51059490101",9.25862810132843e-06,1.77481864606304e-05,82
"51059490103",8.09406417969023e-06,1.53551355291767e-05,84
"51059490501",2.05526789304639e-05,3.58986378843238e-05,98
"51059490502",7.60663882937493e-06,1.51065424279175e-05,120
"51059491000",1.24660636997648e-05,3.39348297260238e-05,68
"51059491101",8.09833572978105e-06,1.88517663444928e-05,76
"51059491102",1.08862936695143e-05,2.28094759100061e-05,79
"51059491103",6.52259110719701e-06,1.32999846412585e-05,76
"51059491201",7.95410811054408e-06,1.53493286389672e-05,80
"51059491202",4.42747601640232e-05,7.47098406055309e-05,83
"51059491301",5.19721639224934e-06,1.21311567316083e-05,65
"51059491302",1.45921436707129e-05,2.84803319326278e-05,84
"51059491303",1.62036421823585e-05,2.82862515058945e-05,82
"51059491401",1.21391292988874e-05,2.22671528452002e-05,80
"51059491402",1.07763545243729e-05,2.26644548412453e-05,77
"51059491403",1.09473396687447e-05,2.49364547286859e-05,63
"51059491404",8.27004099114308e-06,2.05136666179514e-05,59
"51059491405",1.15673716437277e-05,2.96075382978148e-05,57
"51059491501",7.91064283272755e-06,1.49678486471834e-05,97
"51059491502",6.60893067499133e-06,1.3402974087334e-05,98
"51059491601",1.18415579479849e-05,2.03296071828249e-05,97
"51059491602",1.04307668762692e-05,1.8927655661806e-05,105
"51059491701",1.4754539251035e-05,2.73900894363373e-05,141
"51059491702",7.73935915652466e-06,1.41524788732166e-05,150
"51059491703",1.40486866547593e-05,2.35441563120226e-05,135
"51059491704",1.10838758814779e-05,2.01769221823757e-05,144
"51059491705",1.41219185230067e-05,2.88853381962082e-05,118
"51059491801",1.97838362648401e-05,4.09729017625722e-05,111
"51059491802",1.70310457958139e-05,3.36553822919103e-05,132
"51059491803",7.51691913237534e-06,1.41734270644488e-05,120
"51059492000",7.50467609904087e-06,1.47597490011267e-05,107
"51059492100",7.1457320280427e-06,1.39978457590623e-05,55
"51059492201",1.58363335426265e-05,3.05672078820467e-05,94
"51059492202",7.62172007369956e-06,1.36630009131176e-05,117
"51059492203",1.30418883500804e-05,2.28013311094019e-05,128
"51059492300",1.79946786308518e-05,2.91077856239278e-05,136
"51059492400",1.21971748670909e-05,2.06688486181043e-05,137
"51059492500",7.61390341161118e-06,2.05270486932603e-05,57
"51059980100",0.00829009818700142,0.0111555391891745,124
"51059980200",Inf,Inf,126
"51059980300",0.017088777340936,0.0238710592889343,144
"51061930100",6.2701513831534e-07,1.99659357499344e-06,11
"51061930203",4.58000964800233e-07,1.53373214065682e-06,1
"51061930204",1.18116601333469e-06,2.34149597094642e-06,3
"51061930205",2.58081663335192e-06,5.07891681662309e-06,9
"51061930206",3.94357016121218e-06,5.46400277741713e-06,12
"51061930207",5.3863403330641e-06,7.21666638356175e-06,27
"51061930302",5.96855442481865e-06,6.46147825665541e-06,28
"51061930303",4.48457253706662e-06,5.59169566345544e-06,32
"51061930304",5.25127145866734e-06,8.22822943869431e-06,21
"51061930401",2.86425031613352e-06,4.58777236310701e-06,21
"51061930402",2.12930187782493e-06,3.05927181805075e-06,40
"51061930403",1.59182606000248e-06,2.1911494923863e-06,33
"51061930703",5.37085560704204e-07,1.46945389000425e-06,1
"51061930704",5.4611646074275e-07,2.79090840006946e-06,3
"51061930705",1.90927069536412e-06,2.90090878008438e-06,20
"51061930706",8.94802488252515e-07,1.53715459392855e-06,13
"51061930707",2.87325205197385e-06,4.29941590720573e-06,20
"51063920200",0,0,0
"51071930100",0,0,0
"51073100100",0,0,0
"51073100400",0,0,0
"51073100500",0,0,0
"51083930100",0,0,0
"51083930302",0,0,0
"51087200104",0,0,0
"51087200105",0,0,0
"51087200106",0,0,0
"51087200107",0,0,0
"51087200201",0,0,0
"51087200202",0,0,0
"51087200301",0,0,0
"51087200302",0,0,0
"51087200303",0,0,0
"51087200404",0,0,0
"51087200406",0,0,0
"51087200407",0,0,0
"51087200600",0,0,0
"51087200801",0,0,0
